Sample_ID,Pond_ID,Pond_number,Previous_status,Grid_reference,Latitude,Longitude,Kit_type,Kit_ID,Month,Season,Volume,Sampled,Arrived,Inhibition,Degradation,GCN_2022,eDNA_score,Average_Cq,Notes
C250-ARP-GI-GDD-000-000006-31007-290422-PF,31007,1,Unknown,SP 62940 31007,51.973977,-1.0851412,F,PSD-01-00088,April,In-season,2500,28-Apr,04-May,Pass,Pass,Negative,0,NA,
C250-ARP-GI-GDD-000-000006-31007-290422-SK,31007,1,Unknown,SP 62940 31007,51.973977,-1.0851412,EP,"GCN-22
-00602",April,In-season,90,28-Apr,04-May,Pass,Pass,Negative,0,NA,
C250-ARP-GI-GDD-000-000006-31007-260522-PF,31007,1,Unknown,SP 62940 31007,51.973977,-1.0851412,F,PSD-01-18974,May,In-season,2400,26-May,31-May,Pass,Pass,Negative,0,NA,Almost dry in June plus H&S concerns - omitted from subsequent surveys
C250-ARP-GI-GDD-000-000006-31007-260522-SK,31007,1,Unknown,SP 62940 31007,51.973977,-1.0851412,EP,GCN-22-01191,May,In-season,90,26-May,31-May,Pass,Pass,Negative,0,NA,Almost dry in June plus H&S concerns - omitted from subsequent surveys
C250-ARP-GI-GDD-000-000006-31009-290422-PF,31009,2,Unknown,SP 63182 31009,51.973967,-1.0816183,F,"PSD-01
-00081",April,In-season,1000,28-Apr,04-May,Pass,Pass,Negative,0,NA,Almost dry in May plus H&S concerns - omitted from subsequent surveys
C250-ARP-GI-GDD-000-000006-31009-290422-SK,31009,2,Unknown,SP 63182 31009,51.973967,-1.0816183,EP,GCN-22-00596,April,In-season,90,28-Apr,04-May,Pass,Pass,Negative,0,NA,Almost dry in May plus H&S concerns - omitted from subsequent surveys
30271-310522-PF,30271,3,Negative,SP 63367 30271,51.967312,-1.0790614,F,PSD-01-19169,May,In-season,1100,31-May,07-Jun,Pass,Pass,Negative,0,NA,
30271-310522-SK,30271,3,Negative,SP 63367 30271,51.967312,-1.0790614,EP,GCN-22-01121,May,In-season,90,31-May,07-Jun,Pass,Pass,Negative,0,NA,
30271,30271,3,Negative,SP 63367 30271,51.967312,-1.0790614,F,PSD-01-00276,June,In-season,2500,30-Jun,04-Jul,Pass,Pass,Negative,0,NA,
30271,30271,3,Negative,SP 63367 30271,51.967312,-1.0790614,EP,GCN-22-01808,June,In-season,90,30-Jun,04-Jul,Pass,Pass,Negative,0,NA,
30271,30271,3,Negative,SP 63367 30271,51.967312,-1.0790614,F,GCN-22-01817,July,Out-of-season,2500,13-Jul,14-Jul,Pass,Pass,Negative,0,NA,
30271,30271,3,Negative,SP 63367 30271,51.967312,-1.0790614,EP,PSD-01-00353,July,Out-of-season,90,13-Jul,14-Jul,Pass,Pass,Negative,0,NA,
30271-170822-FK,30271,3,Negative,SP 63367 30271,51.967312,-1.0790614,F,PSD-01-00718,August,Out-of-season,1900,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
30271-170822-SK,30271,3,Negative,SP 63367 30271,51.967312,-1.0790614,EP,GCN-22-01951,August,Out-of-season,90,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
eDNA-Filter-SmallPond-Innovation,30271,3,Negative,SP 63367 30271,51.967312,-1.0790614,F,PSD-01-00818,September,Out-of-season,900,22-Sep,28-Sep,Fail,Pass,Inconclusive,NA,NA,Surveyed by HS2 in September 2022 due to access issues. Dry in October.
'eDNA-GCNKit-Normal-NPSmallPond',30271,3,Negative,SP 63367 30271,51.967312,-1.0790614,EP,GCN-22-01977,September,Out-of-season,90,22-Sep,28-Sep,Pass,Pass,Negative,0,NA,Surveyed by HS2 in September 2022 due to access issues. Dry in October.
C250-ARP-GI-GDD-000-000006-484338-290422-PF,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,F,PSD-01-00083,April,In-season,2500,28-Apr,04-May,Pass,Pass,Negative,0,NA,
C250-ARP-GI-GDD-000-000006-484338-290422-SK,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,EP,GCN-22-00588,April,In-season,90,28-Apr,04-May,Pass,Pass,Negative,0,NA,
C250-ARP-GI-GDD-000-000006-484338-260522-PF,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,F,PSD-01-18977,May,In-season,2500,26-May,31-May,Pass,Pass,Negative,0,NA,
C250-ARP-GI-GDD-000-000006-484338-260522-SK,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,EP,GCN-22-01114,May,In-season,90,26-May,31-May,Pass,Pass,Negative,0,NA,
C250-ARP-GI-GDD-000-000006-484338,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,F,PSD-01-00274,June,In-season,2500,30-Jun,04-Jul,Pass,Pass,Positive,1,40.38,
C250-AEP-GI-GDD-000-000006-484338,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,EP,GCN-22-01821,June,In-season,90,30-Jun,04-Jul,Pass,Pass,Negative,0,NA,
C250-ARP-GI-GDD-000-00006,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,F,PSD-01-00343,July,Out-of-season,2500,13-Jul,14-Jul,Pass,Pass,Negative,0,NA,
C250-ARP-GI-GDD-000-00006,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,EP,GCN-22-01816,July,Out-of-season,90,13-Jul,14-Jul,Pass,Pass,Negative,0,NA,
C250-ARP-GI-GDD-000-00006-170822-FK,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,F,PSD-01-00714,August,Out-of-season,2500,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
C250-ARP-GI-GDD-000-00006-170822-SK,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,EP,GCN-22-01947,August,Out-of-season,90,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
'Fishing Lake Filter-HS2',484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,F,PSD-01-00819,September,Out-of-season,2375,22-Sep,28-Sep,Fail,Pass,Inconclusive,NA,NA,Surveyed by HS2 in September 2022 due to access issues
C250-ARP-GI-GDD-000-000006,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,EP,GCN-22-01978,September,Out-of-season,90,22-Sep,28-Sep,Pass,Pass,Negative,0,NA,Surveyed by HS2 in September 2022 due to access issues
C250-ARP-G1-GDD-000-00006-051022-FK,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,F,PSD-01-00859,October,Out-of-season,2500,05-Oct,12-Oct,Pass,Pass,Negative,0,NA,
C250-ARP-G1-GDD-000-00006-051022-SK,484338,4,Negative,SP 63219 30296,51.967553,-1.0812108,EP,GCN-22-01994,October,Out-of-season,90,05-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZb-290422-PF,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,F,"PSD-01
-00079",April,In-season,1700,28-Apr,04-May,Pass,Pass,Positive,12,39.11,
HS2-00002NHYZb-290422-SK,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,EP,"GCN-22
-00592",April,In-season,90,28-Apr,04-May,Pass,Pass,Positive,1,39.97,
HS2-00002NHYZb-260522-PF,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,F,PSD-01-18985,May,In-season,400,26-May,31-May,Pass,Pass,Positive,12,35.83,
HS2-00002NHYZb-260522-SK,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,EP,GCN-22-00593,May,In-season,90,26-May,31-May,Pass,Pass,Negative,0,NA,
HS2-00002NHYZb,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,F,PSD-01-00251,June,In-season,430,30-Jun,04-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NHYZb,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,EP,GCN-22-01818,June,In-season,90,30-Jun,04-Jul,Pass,Pass,Positive,1,46.71,
HS2-00002NHYZb-260722-FK,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,F,PSD-01-00279,July,Out-of-season,950,26-Jul,28-Jul,Pass,Pass,Positive,12,38.30,
HS2-00002NHYZb-260722-SK,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,EP,GCN-22-01888,July,Out-of-season,90,26-Jul,28-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NHYZb-170822-FK,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,F,PSD-01-00272,August,Out-of-season,625,17-Aug,19-Aug,Pass,Pass,Positive,10,37.94,
HS2-00002NHYZb-170822-SK,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,EP,GCN-22-01959,August,Out-of-season,90,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
HS2-00002NHYZb-140922-SK,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,F,PSD-01-00815,September,Out-of-season,560,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NHYZb-140922-FK,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,EP,GCN-22-01966,September,Out-of-season,90,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NHYZb-061022-FK,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,F,PSD-01-00849,October,Out-of-season,625,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZb-061022-SK,HS2-00002NHYT,5,Positive,SP 89923 02356,51.712739,-0.69986096,EP,GCN-22-01962,October,Out-of-season,90,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-290422-PF,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00095,April,In-season,NA,28-Apr,04-May,Pass,Pass,Positive,11,36.29,
HS2-00002NHYZc-290422-SK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-00608,April,In-season,90,28-Apr,04-May,Pass,Pass,Positive,1,40.15,
HS2-00002NHYZc-260622-PF,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-18976,May,In-season,1000,26-May,31-May,Pass,Pass,Positive,12,38.24,
HS2-00002NHYZc-260622-SK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-00598,May,In-season,90,26-May,31-May,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00266,June,In-season,1320,30-Jun,04-Jul,Pass,Pass,Positive,12,36.49,
HS2-00002NHYZc,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-01822,June,In-season,90,30-Jun,04-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-260722-FK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00281,July,Out-of-season,700,26-Jul,28-Jul,Pass,Pass,Positive,12,37.02,
HS2-00002NHYZc-260722-SK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-01815,July,Out-of-season,90,26-Jul,28-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-170822-FK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00347,August,Out-of-season,750,17-Aug,19-Aug,Pass,Pass,Positive,4,38.38,
HS2-00002NHYZc-170822-SK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-01954,August,Out-of-season,90,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-140922-FK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00812,September,Out-of-season,875,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-140922-SK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-01961,September,Out-of-season,90,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-061022-FK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,F,PSD-01-00802,October,Out-of-season,1250,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZc-061022-SK,HS2-00002NHZ0,6,Positive,SP 89966 02349,51.712669,-0.69924056,EP,GCN-22-01963,October,Out-of-season,90,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-290422-FK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,"PSD-01
-00082",April,In-season,2500,28-Apr,04-May,Pass,Pass,Positive,12,35.99,
HS2-00002NHYZd-290422-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-00606,April,In-season,90,28-Apr,04-May,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-260522-PF,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-18980,May,In-season,1000,26-May,31-May,Pass,Pass,Positive,12,34.18,
HS2-00002NHYZd-260522-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-00605,May,In-season,90,26-May,31-May,Pass,Pass,Positive,5,39.97,
HS2-00002NHYZd,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-00270,June,In-season,1000,30-Jun,04-Jul,Pass,Pass,Positive,12,39.22,
HS2-00002NHYZd,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-01824,June,In-season,90,30-Jun,04-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-260722-FK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-00345,July,Out-of-season,375,26-Jul,28-Jul,Pass,Pass,Positive,12,35.74,
HS2-00002NHYZd-260722-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-01887,July,Out-of-season,90,26-Jul,28-Jul,Pass,Pass,Positive,1,40.76,
HS2-00002NHYZd-170822-FK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-00351,August,Out-of-season,850,17-Aug,19-Aug,Pass,Pass,Positive,10,38.37,
HS2-00002NHYZd-170822-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-01955,August,Out-of-season,90,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-140922-FK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-00814,September,Out-of-season,875,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-140922-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-01968,September,Out-of-season,90,14-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-061022-FK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,F,PSD-01-00862,October,Out-of-season,2250,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZd-061022-SK,HS2-00002NHYZ,7,Positive,SP 89958 02332,51.712518,-0.6993607,EP,GCN-22-01986,October,Out-of-season,90,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NHYZ-290422-PF,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-00074,April,In-season,1500,28-Apr,04-May,Pass,Pass,Positive,1,40.30,
HS2-00002NHYZ-290422-SK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-00609,April,In-season,90,28-Apr,04-May,Pass,Pass,Negative,0,NA,
HS2-00002NHYZ-260522-PF,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-18981,May,In-season,265,26-May,31-May,Pass,Pass,Positive,7,40.64,
HS2-00002NHYZ-260522-SK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-00604,May,In-season,90,26-May,31-May,Pass,Pass,Positive,3,40.23,
HS2-00002NHYZ,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-00273,June,In-season,880,30-Jun,04-Jul,Pass,Pass,Negative,0,N/A,
HS2-00002NHYZ,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-01812,June,In-season,90,30-Jun,04-Jul,Pass,Pass,Negative,0,N/A,
HS2-00002NHYZ-260722-FK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-00348,July,Out-of-season,800,26-Jul,28-Jul,Pass,Pass,Positive,12,39.22,
HS2-00002NHYZ-260722-SK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-01886,July,Out-of-season,90,26-Jul,28-Jul,Pass,Pass,Positive,7,39.91,
HS2-00002NHYZ-170822-FK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-00254,August,Out-of-season,300,18-Aug,19-Aug,Pass,Pass,Positive,12,35.99,
HS2-00002NHYZ-170822-SK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,EP,GCN-22-01948,August,Out-of-season,90,17-Aug,19-Aug,Pass,Pass,Negative,0,NA,
HS2-00002NHYZ-140922-FK,HS2-00002NHYV,8,Positive,SP 89935 02403,51.713159,-0.6996752,F,PSD-01-00803,September,Out-of-season,875,14-Sep,16-Sep,Pass,Pass,Positive,1,39.93,Dry in October
