Sample_ID,Pond_ID,Pond_number,Previous_status,Grid_reference,Latitude,Longitude,Kit_type,Kit_ID,Month,Season,Volume,Sampled,Arrived,Inhibition,Degradation,GCN_2022,eDNA_score,Average_Cq,Notes
HS2-00002NL5P-120722-SK,HS2-00002NL5P,15,Positive,SP 78891 14266,51.821459,-0.85679984,EP,GCN-22-01879,July,Out-of-season,90,12-Jul,14-Jul,Pass,Pass,Positive,4,39.98,
HS2-00002NL5P-160822-FK,HS2-00002NL5P,15,Positive,SP 78891 14266,51.821459,-0.85679984,F,PSD-01-00719,August,Out-of-season,450,16-Aug,19-Aug,Pass,Pass,Positive,12,36.78,
HS2-00002NL5P-160822-SK,HS2-00002NL5P,15,Positive,SP 78891 14266,51.821459,-0.85679984,EP,GCN-22-01949,August,Out-of-season,90,16-Aug,19-Aug,Pass,Pass,Positive,3,39.33,
HS2-00002NL5P-130922-FK,HS2-00002NL5P,15,Positive,SP 78891 14266,51.821459,-0.85679984,F,PSD-01-00816,September,Out-of-season,1125,13-Sep,16-Sep,Pass,Pass,Positive,4,40.20,
HS2-00002NL5P-130922-SK,HS2-00002NL5P,15,Positive,SP 78891 14266,51.821459,-0.85679984,EP,GCN-22-01881,September,Out-of-season,90,13-Sep,16-Sep,Pass,Pass,Positive,10,39.53,
HS2-00002NL5P-061022-FK,HS2-00002NL5P,15,Positive,SP 78891 14266,51.821459,-0.85679984,F,PSD-01-00853,October,Out-of-season,1125,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NL5P-061022-SK,HS2-00002NL5P,15,Positive,SP 78891 14266,51.821459,-0.85679984,EP,GCN-22-01992,October,Out-of-season,90,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NL5Q-280422-PF,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,F,PSD-01-00075,April,In-season,2500,28-Apr,29-Apr,Pass,Pass,Negative,0,NA,
HS2-00002NL5Q-280422-SK,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,EP,GCN-22-00589,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Positive,12,32.75,
HS2-0002NL5Q-260522-PF,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,F,PSD-01-18975,May,In-season,1900,26-May,31-May,Pass,Pass,Positive,12,31.77,
HS2-00002NL5Q-250522-SK,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,EP,GCN-22-01116,May,In-season,90,26-May,31-May,Pass,Pass,Positive,12,36.09,
HS2-00002NL5Q,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,F,PSD-01-00278,June,In-season,2500,30-Jun,04-Jul,Pass,Pass,Positive,11,38.62,
HS2-00002NL5Q,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,EP,GCN-22-01813,June,In-season,90,20-Jun,04-Jul,Pass,Pass,Positive,12,38.02,
HS2-00002NL5Q-120722-FK,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,F,PSD-01-00336,July,Out-of-season,2250,12-Jul,14-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NL5Q-120722-SK,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,EP,GCN-22-01892,July,Out-of-season,90,12-Jul,14-Jul,Pass,Pass,Positive,12,36.78,
HS2-00002NL5Q-160822-FK,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,F,PSD-01-00337,August,Out-of-season,1000,16-Aug,19-Aug,Pass,Pass,Negative,0,NA,
HS2-00002NL5Q-160822-SK,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,EP,GCN-22-01956,August,Out-of-season,90,16-Aug,19-Aug,Pass,Pass,Positive,7,39.42,
HS2-00002NL5Q-130922-FK,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,F,PSD-01-00813,September,Out-of-season,500,13-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NL5Q-130922-SK,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,EP,GCN-22-01976,September,Out-of-season,90,13-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NL5Q-061022-FK,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,F,PSD-01-00861,October,Out-of-season,500,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NL5Q-061022-SK,HS2-00002NL5Q,16,Positive,SP 78807 14359,51.822307,-0.85799717,EP,GCN-22-01990,October,Out-of-season,90,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NL5R-280422-PF,HS2-00002NL5R,17,Positive,SP 78857 14317,51.821922,-0.85728143,F,PSD-01-00078,April,In-season,2500,28-Apr,29-Apr,Pass,Pass,Positive,12,36.54,Almost dry in May - omitted from subsequent surveys
HS2-00002NL5R-280422-SK,HS2-00002NL5R,17,Positive,SP 78857 14317,51.821922,-0.85728143,EP,GCN-22-00594,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Negative,0,NA,Almost dry in May - omitted from subsequent surveys
620014-250522-PF,0620014,18,Positive,SP 80166 13110,51.810886,-0.8385725,F,PSD-01-18971,May,In-season,1200,25-May,31-May,Pass,Pass,Positive,1,43.51,Dry in June - omitted from subsequent surveys
620014-250522-SK,0620014,18,Positive,SP 80166 13110,51.810886,-0.8385725,EP,GCN-22-01113,May,In-season,90,25-May,31-May,Pass,Pass,Negative,0,NA,Dry in June - omitted from subsequent surveys
HS2-00002NL5S-280422-PF,HS2-00002NL5S,19,Positive,SP 78873 14302,51.821785,-0.85705275,F,PSD-01-00077,April,In-season,1900,28-Apr,29-Apr,Pass,Pass,Positive,9,38.90,Dry in May - omitted from subsequent surveys
HS2-00002NL5S-280422-SK,HS2-00002NL5S,19,Positive,SP 78873 14302,51.821785,-0.85705275,EP,GCN-22-00587,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Positive,2,44.55,Dry in May - omitted from subsequent surveys
HS2-00002NL5T-280422-PF,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,F,PSD-01-00072,April,In-season,2500,28-Apr,29-Apr,Pass,Pass,Positive,12,38.85,
HS2-00002NL5T-280422-SK,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,EP,GCN-22-00600,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Positive,1,44.54,
HS2-00002NL5T-250522-PF,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,F,PSD-01-18984,May,In-season,2000,25-May,31-May,Pass,Pass,Positive,7,40.87,
HS2-00002NL5T-250522-SK,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,EP,GCN-22-01119,May,In-season,90,25-May,31-May,Pass,Pass,Positive,1,39.11,
HS2-00002NL5T,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,F,PSD-01-00268,June,In-season,1400,30-Jun,04-Jul,Pass,Pass,Positive,12,34.85,
HS2-00002NL5T,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,EP,GCN-22-01676,June,In-season,90,29-Jun,04-Jul,Pass,Pass,Negative,0,NA,
HS2-00002NL5T-120722-FK,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,F,PSD-01-00335,July,Out-of-season,1625,12-Jul,14-Jul,Pass,Pass,Positive,12,38.32,
HS2-00002NL5T-120722-SK,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,EP,GCN-22-01898,July,Out-of-season,90,12-Jul,14-Jul,Pass,Pass,Positive,1,41.40,
HS2-00002NL5T-160822-FK,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,F,PSD-01-00713,August,Out-of-season,500,16-Aug,19-Aug,Pass,Pass,Positive,1,39.03,
HS2-00002NL5T-160822-SK,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,EP,GCN-22-01891,August,Out-of-season,90,16-Aug,19-Aug,Pass,Pass,Positive,3,40.09,
HS2-00002NL5T-130922-FK,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,F,PSD-01-00817,September,Out-of-season,250,13-Sep,16-Sep,Pass,Pass,Positive,5,40.43,
HS2-00002NL5T-130922-SK,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,EP,GCN-22-01967,September,Out-of-season,90,13-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NL5T-061022-FK,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,F,PSD-01-00857,October,Out-of-season,1250,06-Oct,12-Oct,Pass,Pass,Positive,1,40.22,
HS2-00002NL5T-061022-SK,HS2-00002NL5T,20,Positive,SP 78888 14285,51.82163,-0.85683903,EP,GCN-22-01984,October,Out-of-season,90,06-Oct,12-Oct,Pass,Pass,Positive,1,37.34,
HS2-00002NL5U-280422-PF,HS2-00002NL5U,21,Positive,SP 78865 14288,51.82166,-0.85717198,F,PSD-01-00093,April,In-season,2500,28-Apr,29-Apr,Pass,Pass,Positive,12,37.27,
HS2-00002NL5U-280422-SK,HS2-00002NL5U,21,Positive,SP 78865 14288,51.82166,-0.85717198,EP,GCN-22-00597,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Positive,3,39.75,
HS2-00002NL5U- 250522-PF,HS2-00002NL5U,21,Positive,SP 78865 14288,51.82166,-0.85717198,F,PSD-01-18969,May,In-season,1000,25-May,31-May,Pass,Pass,Positive,12,34.41,
HS2-00002NL5U-250522-SK,HS2-00002NL5U,21,Positive,SP 78865 14288,51.82166,-0.85717198,EP,GCN-22-01108,May,In-season,90,25-May,31-May,Pass,Pass,Negative,0,NA,
HS2-00002NL5U,HS2-00002NL5U,21,Positive,SP 78865 14288,51.82166,-0.85717198,F,PSD-01-00265,June,In-season,510,30-Jun,04-Jul,Pass,Pass,Positive,12,32.08,Dry in July - omitted from subsequent surveys
HS2-00002NL5U,HS2-00002NL5U,21,Positive,SP 78865 14288,51.82166,-0.85717198,EP,GCN-22-01807,June,In-season,90,29-Jun,04-Jul,Pass,Pass,Positive,12,38.74,Dry in July - omitted from subsequent surveys
HS2-00002NL5W-240822-PF,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,F,PSD-01-00073,April,In-season,2500,28-Apr,29-Apr,Pass,Pass,Positive,12,36.40,
HS2-00002NL5W-240822-SK,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,EP,GCN-22-00591,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Positive,1,50.03,
HS2-00002NL5W- 260522-PF,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,F,PSD-01-18982,May,In-season,2300,26-May,31-May,Fail,Pass,Positive,12,38.12,
HS2-00002NL5W-260522-SK,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,EP,GCN-22-01110,May,In-season,90,26-May,31-May,Pass,Pass,Positive,8,39.53,
HS2-00002NL5W,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,F,PSD-01-00241,June,In-season,1500,30-Jun,04-Jul,Pass,Pass,Positive,12,38.13,
HS2-00002NL5W,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,EP,GCN-22-01675,June,In-season,90,30-Jun,04-Jul,Pass,Pass,Positive,11,38.53,
HS2-00002NL5W-120722-FK,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,F,PSD-01-00341,July,Out-of-season,1125,12-Jul,14-Jul,Pass,Pass,Positive,2,40.53,
HS2-00002NL5W-120722-SK,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,EP,GCN-22-01897,July,Out-of-season,90,12-Jul,14-Jul,Pass,Pass,Positive,12,36.25,
HS2-00002NL5W-160822-FK,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,F,PSD-01-00716,August,Out-of-season,500,16-Aug,19-Aug,Pass,Pass,Positive,2,39.85,
HS2-00002NL5W-160822-SK,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,EP,GCN-22-01884,August,Out-of-season,90,16-Aug,19-Aug,Pass,Pass,Positive,4,40.89,
HS2-00002NL5W-130922-FK,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,F,PSD-01-00804,September,Out-of-season,625,13-Sep,16-Sep,Pass,Pass,Negative,0,NA,Dry in October
HS2-00002NL5W-130922-SK,HS2-00002NL5W,22,Positive,SP 78818 14337,51.822107,-0.85784261,EP,GCN-22-01975,September,Out-of-season,90,13-Sep,16-Sep,Pass,Pass,Negative,0,NA,Dry in October
HS2-00002NL5V-280422-PF,HS2-00002NL5V,23,Positive,SP 78841 14332,51.822059,-0.85751011,F,PSD-01-00085,April,In-season,2500,28-Apr,29-Apr,Pass,Pass,Positive,9,39.07,
HS2-00002NL5V-280422-SK,HS2-00002NL5V,23,Positive,SP 78841 14332,51.822059,-0.85751011,EP,GCN-22-00603,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Negative,0,NA,
HS2-00002NL5V-260522-PF,HS2-00002NL5V,23,Positive,SP 78841 14332,51.822059,-0.85751011,F,PSD-01-18966,May,In-season,1000,26-May,31-May,Pass,Pass,Positive,12,34.97,Dry in June - omitted from subsequent surveys
HS2-00002NL5V-260522-SK,HS2-00002NL5V,23,Positive,SP 78841 14332,51.822059,-0.85751011,EP,GCN-22-01117,May,In-season,90,26-May,31-May,Pass,Pass,Positive,10,37.70,Dry in June - omitted from subsequent surveys
063009-260722-FK,063009,24,Negative,SP 79896 13401,51.813541,-0.84242105,F,PSD-01-00350,July,Out-of-season,880,26-Jul,28-Jul,Pass,Pass,Negative,0,NA,
063009-260722-SK,063009,24,Negative,SP 79896 13401,51.813541,-0.84242105,EP,GCN-22-01883,July,Out-of-season,90,26-Jul,26-Jul,Pass,Pass,Negative,0,NA,
063009-180822-FK,063009,24,Negative,SP 79896 13401,51.813541,-0.84242105,F,PSD-01-00722,August,Out-of-season,875,18-Aug,19-Aug,Pass,Pass,Negative,0,NA,
063009-180822-SK,063009,24,Negative,SP 79896 13401,51.813541,-0.84242105,EP,GCN-22-01952,August,Out-of-season,90,18-Aug,19-Aug,Pass,Pass,Negative,0,NA,
063009-150922-FK,063009,24,Negative,SP 79896 13401,51.813541,-0.84242105,F,PSD-01-00801,September,Out-of-season,815,15-Sep,16-Sep,Pass,Pass,Negative,0,NA,
063009-150922-SK,063009,24,Negative,SP 79896 13401,51.813541,-0.84242105,EP,GCN-22-01974,September,Out-of-season,90,15-Sep,16-Sep,Pass,Pass,Negative,0,NA,
063009-201022-FK,063009,24,Negative,SP 79896 13401,51.813541,-0.84242105,F,PSD-01-00856,October,Out-of-season,1750,20-Oct,25-Oct,Fail,Pass,Positive,2,41.57,
063009-201022-SK,063009,24,Negative,SP 79896 13401,51.813541,-0.84242105,EP,GCN-22-01982,October,Out-of-season,90,20-Oct,25-Oct,Pass,Pass,Negative,0,NA,
063011-260722-FK,063011,25,Positive,SP 79783 13529,51.814707,-0.84403045,F,PSD-01-00349,July,Out-of-season,1950,26-Jul,28-Jul,Pass,Pass,Positive,12,32.19,
063011-260722-SK,063011,25,Positive,SP 79783 13529,51.814707,-0.84403045,EP,GCN-22-01809,July,Out-of-season,90,26-Jul,28-Jul,Pass,Pass,Positive,12,37.29,
063011-180222-FK,063011,25,Positive,SP 79783 13529,51.814707,-0.84403045,F,PSD-01-00277,August,Out-of-season,700,18-Aug,19-Aug,Pass,Pass,Positive,12,35.86,
063011-180822-SK,063011,25,Positive,SP 79783 13529,51.814707,-0.84403045,EP,GCN-22-01958,August,Out-of-season,90,18-Aug,19-Aug,Pass,Pass,Positive,12,39.83,
063011-150922-FK,063011,25,Positive,SP 79783 13529,51.814707,-0.84403045,F,PSD-01-00811,September,Out-of-season,1050,15-Sep,16-Sep,Pass,Pass,Positive,6,40.08,
063011-150922-SK,063011,25,Positive,SP 79783 13529,51.814707,-0.84403045,EP,GCN-22-01960,September,Out-of-season,90,15-Sep,16-Sep,Pass,Pass,Positive,3,39.77,
063011-201022-FK,063011,25,Positive,SP 79783 13529,51.814707,-0.84403045,F,PSD-01-00848,October,Out-of-season,1250,20-Oct,25-Oct,Pass,Pass,Positive,2,45.13,
063011-201022-SK,063011,25,Positive,SP 79783 13529,51.814707,-0.84403045,EP,GCN-22-01988,October,Out-of-season,90,20-Oct,25-Oct,Pass,Pass,Negative,0,NA,
BLANK-260522-PF,NA,NA,NA,NA,NA,NA,F,PSD-01-18967,May,In-season,2500,26-May,31-May,Pass,Pass,Negative,0,NA,
BLANK-260522-SK,NA,NA,NA,NA,NA,NA,EP,GCN-22-01118,May,In-season,90,26-May,31-May,Pass,Pass,Negative,0,NA,
Blank,NA,NA,NA,NA,NA,NA,F,PSD-01-00261,June,In-season,2500,30-Jun,04-Jul,Pass,Pass,Negative,0,NA,
Blank-260722-FK,NA,NA,NA,NA,NA,NA,F,PSD-01-00271,July,Out-of-season,2500,26-Jul,28-Jul,Pass,Pass,Negative,0,NA,
Blank-260722-SK,NA,NA,NA,NA,NA,NA,EP,GCN-22-01899,July,Out-of-season,90,26-Jul,28-Jul,Pass,Pass,Negative,0,NA,
Blank-180822-FK,NA,NA,NA,NA,NA,NA,F,PSD-01-00340,August,Out-of-season,2500,18-Aug,19-Aug,Pass,Pass,Negative,0,NA,
Blank-180822-SK,NA,NA,NA,NA,NA,NA,EP,GCN-22-01880,August,Out-of-season,90,18-Aug,19-Aug,Pass,Pass,Negative,0,NA,
BLANK-150922-FK,NA,NA,NA,NA,NA,NA,F,PSD-01-00807,September,Out-of-season,2500,15-Sep,16-Sep,Pass,Pass,Negative,0,NA,
BLANK-150922-SK,NA,NA,NA,NA,NA,NA,EP,GCN-22-01971,September,Out-of-season,90,15-Sep,16-Sep,Pass,Pass,Negative,0,NA,
BLANK-071022-FK,NA,NA,NA,NA,NA,NA,F,PSD-01-00858,October,Out-of-season,2500,07-Oct,12-Oct,Pass,Pass,Negative,0,NA,
BLANK-071022-SK,NA,NA,NA,NA,NA,NA,EP,GCN-22-01987,October,Out-of-season,90,07-Oct,12-Oct,Fail,Pass,Inconclusive,NA,NA,
